ticker,ref_price,book_gaps,A_tick,A_bps_per_tick,A_n_snapshots,A_spread_ticks_p1,A_spread_ticks_p5,A_spread_ticks_p25,A_spread_ticks_p50,A_spread_ticks_p75,A_spread_ticks_p90,A_spread_ticks_p95,A_spread_ticks_p99,A_spread_ticks_mean,A_spread_ticks_max,A_spread_bps_p1,A_spread_bps_p5,A_spread_bps_p25,A_spread_bps_p50,A_spread_bps_p75,A_spread_bps_p90,A_spread_bps_p95,A_spread_bps_p99,A_spread_bps_mean,A_spread_bps_max,A_share_spread_eq_1_tick,A_share_spread_le_2_ticks,A_share_spread_ge_5_ticks,B_as350_hi_bps,B_as350_lo_bps,B_fork_delta350_bps,B_as1s_hi_bps,B_as10s_hi_bps,B_halfspread_p50_tw_bps,B_edge_bps,B_n_events,B_valid_m0_share,B_negative_lag_share_commit,C_n_trades,C_trades_per_day,C_base_volume_total,C_notional_total_usd,C_notional_per_day_usd,C_trade_usd_p1,C_trade_usd_p5,C_trade_usd_p25,C_trade_usd_p50,C_trade_usd_p75,C_trade_usd_p90,C_trade_usd_p95,C_trade_usd_p99,C_trade_usd_mean,C_trade_usd_max,C_taker_buy_share_count,C_taker_buy_share_notional,D_n_taker_orders,D_sweep_share_notional,D_sweep_share_count,D_sweep_share_notional_acct_block,D_algo_twap_share_notional,D_liq_share_notional,D_sweep_share_notional_buy,D_sweep_share_notional_sell,D_sweep_depth_bps_p50,D_sweep_depth_bps_p90,D_sweep_levels_p50,D_sweep_levels_p90,D_legs_p50,D_legs_p90,D_legs_p99,D_legs_max,E_obs_days,E_seconds_observed,E_jumps_gt20bps_per_day,E_jumps_gt50bps_per_day,E_max_1s_move_bps,E_range_bps_p99,F_n_makers,F_n_makers_gt1pct,F_top1_maker_share,F_top3_maker_share,F_maker_hhi,F_top1_maker_purity,F_system_maker_share,F_premium_tier_share,F_n_fee_tiers,F_l1_requote_p50_s,F_l1_requote_p90_s,G_order_usd,G_touch_bid_usd_p25,G_touch_bid_usd_p50,G_touch_bid_usd_p75,G_touch_ask_usd_p25,G_touch_ask_usd_p50,G_touch_ask_usd_p75,G_touch_usd_p50,G_queue_share_p50
ADA,0.1643,0,1e-05,0.6087,182780,1.0,4.0,8.0,11.0,14.0,18.0,21.0,27.0,11.4,82.0,0.613,2.437,4.891,6.534,8.492,11.023,12.879,16.301,6.938,49.208,0.0,0.0252,0.9207,1.296,1.263,0.033,1.438,4.551,3.039,1.743,1001,0.9579,0.319,1147,1414.3,10956209.2,1792314.73,2209938.67,0.02,10.61,99.99,501.31,1007.25,2546.04,4838.68,14975.29,1562.61,95408.61,0.6591,0.7164,1045,0.2581,0.0498,0.2766,0.0,0.0008,0.152,0.5267,1.23,10.0,2.0,3.0,1.0,1.0,2.0,16,0.811,48669,4.93,0.0,30.03,5.217,25,10,0.4713,0.7639,0.2861,0.7743,0.1571,0.4317,8,0.202,6.252,,,,,,,,,
APT,0.6221,0,0.0001,1.6075,248105,1.0,2.0,3.0,4.0,5.0,6.0,7.0,8.0,4.1,32.0,1.606,3.207,4.832,6.438,8.042,9.635,10.999,12.887,6.648,51.813,0.0,0.1003,0.2637,2.174,1.658,0.516,1.907,2.011,3.211,1.038,61,0.604,0.071,130,160.3,53137.43,33463.22,41259.57,3.78,10.34,31.79,99.32,357.02,821.35,999.88,1290.62,257.41,1298.0,0.5308,0.5384,101,0.4648,0.1584,0.4765,0.0,0.0564,0.596,0.3017,1.62,9.27,2.0,2.0,1.0,2.0,2.0,3,0.811,62231,4.93,0.0,27.91,4.027,9,5,0.6819,0.9501,0.5033,0.8355,0.2773,0.036,5,0.295,5.201,,,,,,,,,
AVAX,6.4348,0,0.0001,0.1554,249300,2.0,11.0,18.0,24.0,31.0,43.0,52.0,73.0,26.5,326.0,0.312,1.709,2.8,3.721,4.843,6.663,8.058,11.306,4.107,51.649,0.0,0.0099,0.9821,0.892,0.869,0.024,1.084,1.176,1.706,0.814,1168,0.9613,0.101,1399,1724.9,60843.2,391503.32,482715.8,1.99,11.13,96.59,128.05,196.38,471.46,1001.37,3018.39,279.85,9209.9,0.7127,0.5703,1215,0.347,0.0988,0.3624,0.0,0.0044,0.2759,0.4422,0.23,3.6,2.0,2.0,1.0,2.0,2.0,6,0.811,51897,11.1,1.23,57.29,4.242,22,9,0.3876,0.6731,0.2144,0.9904,0.307,0.072,6,0.053,1.448,,,,,,,,,
BTC,63980.0,0,0.1,0.0156,1141479,1.0,1.0,2.0,24.0,37.0,47.0,51.0,60.0,22.8,501.0,0.016,0.016,0.031,0.375,0.58,0.733,0.799,0.939,0.356,7.801,0.0,0.2629,0.699,0.092,0.075,0.016,0.102,0.138,0.187,0.095,235246,0.9998,0.172,383090,472340.6,3827.85,244825831.9,301864239.81,0.64,3.21,12.83,51.22,190.51,499.82,2476.55,11999.87,639.08,1141015.42,0.4422,0.5036,235334,0.6312,0.1861,0.6426,0.01,0.0006,0.5913,0.6717,0.14,0.61,2.0,5.0,1.0,3.0,8.0,100,0.811,70070,0.0,0.0,7.83,1.699,435,11,0.3303,0.6063,0.1569,0.9663,0.1532,0.0745,10,0.051,0.3,,,,,,,,,
DOGE,0.0731,0,1e-06,0.1368,228000,9.0,18.0,26.0,32.0,39.0,47.0,52.0,71.0,33.5,556.0,1.237,2.465,3.576,4.408,5.343,6.382,7.133,9.771,4.585,75.427,0.0,0.0027,0.9952,0.815,0.824,-0.01,1.01,1.797,2.122,1.308,686,0.9359,0.201,844,1040.6,2731050.0,200452.45,247153.03,0.91,14.49,39.96,149.93,200.01,599.74,999.1,1633.82,237.5,5500.09,0.4396,0.4417,733,0.4039,0.0682,0.3997,0.0,0.0098,0.5549,0.2823,0.75,4.82,2.0,4.0,1.0,1.0,4.0,7,0.811,59078,2.47,1.23,60.67,2.345,20,10,0.4043,0.6331,0.2123,1.0,0.4525,0.0183,7,0.099,2.05,,,,,,,,,
ENA,0.081,83,1e-05,1.2346,200020,1.0,1.0,2.0,2.0,3.0,4.0,5.0,7.0,2.6,28.0,1.218,1.224,2.44,2.495,3.738,4.996,6.19,8.659,3.154,34.904,0.0,0.3651,0.0484,1.173,1.116,0.056,1.36,2.345,1.24,0.067,981,0.9637,0.234,1249,1540.0,17426347.8,1408371.97,1736549.04,0.01,0.01,12.07,235.03,505.87,1887.63,5235.51,15622.63,1127.6,50049.48,0.5316,0.5469,1018,0.3565,0.053,0.3581,0.0,0.0002,0.4042,0.2988,3.65,7.47,2.0,4.7,1.0,1.0,5.83,28,0.811,51849,8.63,1.23,54.33,5.622,22,10,0.607,0.7836,0.3917,1.0,0.1667,0.5099,8,0.252,5.524,,,,,,,,,
ETH,1804.675,0,0.01,0.0554,928694,1.0,1.0,10.0,13.0,16.0,19.0,21.0,26.0,12.7,337.0,0.055,0.056,0.55,0.722,0.887,1.052,1.164,1.439,0.706,18.739,0.0,0.0634,0.9023,0.106,0.097,0.008,0.117,0.119,0.36,0.255,94069,0.9995,0.089,113773,140279.4,77488.41,139834583.99,172412702.66,0.18,0.36,1.46,68.52,434.02,2159.95,5702.84,14999.15,1229.07,237779.33,0.5273,0.518,94124,0.7206,0.0731,0.7271,0.0044,0.0016,0.7264,0.7143,0.22,1.0,2.0,5.0,1.0,1.0,5.0,142,0.811,70019,0.0,0.0,18.85,2.571,218,18,0.2178,0.4049,0.0867,1.0,0.2627,0.0497,10,0.052,0.452,,,,,,,,,
FARTCOIN,0.1491,0,1e-05,0.6709,295008,1.0,2.0,4.0,7.0,10.0,13.0,16.0,22.0,7.4,87.0,0.666,1.332,2.705,4.554,6.588,8.801,10.769,14.962,4.98,59.339,0.0,0.0664,0.6438,1.307,1.38,-0.073,1.309,1.293,1.998,0.691,546,0.9192,0.105,713,879.1,2798326.3,417570.1,514856.41,0.02,4.41,27.43,149.97,937.28,1386.69,1885.48,7996.66,585.65,9741.29,0.4095,0.2788,595,0.2281,0.0706,0.5655,0.3355,0.0329,0.3325,0.1862,1.33,7.79,2.0,2.0,1.0,1.0,3.0,35,0.811,66233,16.03,1.23,82.96,7.4,18,13,0.3259,0.5366,0.1575,1.0,0.3615,0.0473,6,0.102,3.246,,,,,,,,,
LINK,8.003,0,1e-05,0.0125,441263,154.0,236.0,373.0,475.0,566.0,653.0,714.0,838.0,472.8,2559.0,1.926,2.952,4.664,5.941,7.093,8.176,8.945,10.494,5.919,32.219,0.0,0.0004,0.9996,1.443,1.411,0.032,1.49,2.284,2.826,1.383,200,0.8264,0.025,289,356.3,21870.4,175172.81,215983.96,2.42,8.0,45.96,205.39,999.54,1026.3,1680.65,4869.38,606.13,6855.27,0.436,0.4031,242,0.2809,0.1198,0.2949,0.0,0.0022,0.2428,0.3066,0.35,3.05,2.0,3.0,1.0,2.0,3.0,5,0.811,67492,0.0,0.0,15.09,2.066,17,9,0.6412,0.8085,0.433,0.9137,0.5152,0.0351,5,0.051,0.505,,,,,,,,,
PENGU,0.0061,1400,1e-06,1.6507,71857,2.0,4.0,6.0,7.0,8.0,10.0,11.0,14.0,7.2,67.0,3.285,6.582,9.883,11.56,13.302,16.513,18.18,23.129,11.895,110.406,0.0,0.0137,0.8219,1.768,1.68,0.087,1.548,1.037,5.748,3.98,256,0.8393,0.238,327,403.2,19894600.0,121285.95,149547.96,0.01,2.45,16.34,101.22,500.25,851.65,1631.48,4150.19,370.91,7500.0,0.6544,0.4444,305,0.3259,0.0328,0.3276,0.0,0.0165,0.1456,0.4744,2.44,8.27,2.0,2.2,1.0,1.0,2.0,5,0.811,24310,16.03,1.23,55.08,5.79,16,8,0.4061,0.7502,0.249,0.7443,0.1564,0.1711,6,0.449,14.75,,,,,,,,,
