ticker,ref_price,A_spread_ticks_p50,A_spread_bps_p50,B_as350_hi_bps,B_edge_bps,C_n_trades,C_trades_per_day,C_notional_per_day_usd,D_sweep_share_notional,E_obs_days,E_jumps_gt20bps_per_day,F_top1_maker_share,F_l1_requote_p50_s,G_touch_usd_p50,G_queue_share_p50
ADA,0.1643,11.0,6.534,1.296,1.743,1147,1414.3,2209938.67,0.2581,0.811,4.93,0.4713,0.202,,
APT,0.6221,4.0,6.438,2.174,1.038,130,160.3,41259.57,0.4648,0.811,4.93,0.6819,0.295,,
AVAX,6.4348,24.0,3.721,0.892,0.814,1399,1724.9,482715.8,0.347,0.811,11.1,0.3876,0.053,,
BTC,63980.0,24.0,0.375,0.092,0.095,383090,472340.6,301864239.81,0.6312,0.811,0.0,0.3303,0.051,,
DOGE,0.0731,32.0,4.408,0.815,1.308,844,1040.6,247153.03,0.4039,0.811,2.47,0.4043,0.099,,
ENA,0.081,2.0,2.495,1.173,0.067,1249,1540.0,1736549.04,0.3565,0.811,8.63,0.607,0.252,,
ETH,1804.675,13.0,0.722,0.106,0.255,113773,140279.4,172412702.66,0.7206,0.811,0.0,0.2178,0.052,,
FARTCOIN,0.1491,7.0,4.554,1.307,0.691,713,879.1,514856.41,0.2281,0.811,16.03,0.3259,0.102,,
LINK,8.003,475.0,5.941,1.443,1.383,289,356.3,215983.96,0.2809,0.811,0.0,0.6412,0.051,,
PENGU,0.0061,7.0,11.56,1.768,3.98,327,403.2,149547.96,0.3259,0.811,16.03,0.4061,0.449,,
PUMP,0.0014,2.0,14.174,0.19,6.902,7602,9373.1,497520.39,0.2112,0.811,24.66,0.4666,0.698,,
SEI,0.0492,5.0,10.043,0.484,3.597,409,504.3,65180.25,0.1144,0.811,1.23,0.9865,0.547,,
SUI,0.7375,33.0,4.514,1.133,0.95,441,543.7,256190.88,0.5276,0.811,2.47,0.4071,0.15,,
TAO,209.408,98.0,4.681,0.527,1.807,1033,1273.7,232502.19,0.3008,0.811,1.23,0.3068,0.051,891.4,0.3593
TIA,0.4053,47.0,11.63,1.311,4.152,380,468.5,122345.77,0.2523,0.811,28.36,0.6294,0.399,786.6,0.3886
TRUMP,1.5729,9.0,5.748,2.759,0.104,286,352.6,164309.92,0.318,0.811,13.56,0.5569,0.396,,
VIRTUAL,0.599,77.0,12.898,0.772,5.298,1039,1281.1,264060.63,0.5385,0.811,33.29,0.3705,0.199,5124.6,0.0889
WIF,0.1503,14.0,9.373,3.007,1.65,145,178.8,54815.69,0.0872,0.811,2.47,0.4391,0.199,,
WLD,0.4082,21.0,5.035,1.39,0.979,2309,2847.0,756086.98,0.4655,0.811,22.19,0.2785,0.1,,
XMR,327.517,270.0,8.259,3.088,0.994,510,628.8,299282.49,0.4825,0.811,4.93,0.6562,0.054,,
ZEC,521.1105,173.0,3.321,0.699,0.944,14106,17392.3,11120401.83,0.4382,0.811,29.59,0.258,0.052,,
ZRO,0.9035,68.0,7.534,3.503,-0.026,1701,2097.3,246547.58,0.4704,0.811,18.49,0.2166,0.054,,
